study	pmid	cancer_type	race	years_median_followup	n_deaths	n_patients	n_bm_neg	n_bm_pos	n_bm_first_recurrence	n_bm_subsequent_recurrences	n_male	n_female	n_smoker_never	n_smoker_ever	n_age_lt_60	n_age_ge_60	n_age_lt_50	n_age_ge_50_lt_70	n_age_ge_70	t_status_1_2	t_status_3_4	n_status_0_1	n_status_2_3	m_status_0	m_status_1	n_histology_luad	n_histology_sclc	n_histology_other	n_stage_i_ii	n_stage_iii	n_stage_i_ii_iii	n_stage_iv	bm_meta	bm_syn	n_egfr_wildtype	n_egfr_mutant	n_kras_wildtype	n_kras_mutant	period_start	period_end	study_type	registry	country	n_race_nfe_fin	n_race_afr	n_race_eas	n_race_sas	n_race_oth_amr	survival_overall_5y	other_primary_cancers	other_metastases	comments
Schouten 2002	12173339	SCLC, 70+ y	Caucasian	7.50		75	61	14	NA	NA	NA	NA	NA	NA	NA	NA	0	0	75	NA	NA	NA	NA	NA	NA	0	75	0	NA	NA	NA	NA	6	8	NA	NA	NA	NA	1986	1995	population-based	Maastricht Cancer Registry	Netherlands	75	0	0	0	0	NA			
Smedby 2009	19826419	LC, BM+	Caucasian	10.50	4663	4724	0	4724	NA	NA	NA	NA	NA	NA	NA	NA				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1987	2006	population-based	Swedish National Patient Registry	Sweden	4724	0	0	0	0		Yes	No	Incidence of brain metastasis was estimated for the general population (not cancer patients). Incidence rate of primary malignancies in Sweden has increased from 490 to 530 per 100,000 individuals during the period 1987 to 2006. Unclear how many lung cancer diagnoses occured in the same time period.
Komaki 1983	6313558	LUAD	NA			349	253	96																		349	0	0					35	61	NA	NA	NA	NA	1970	1981	retrospective	Medical College of Wisconsin Affiliated Hospitals	USA	NA	NA	NA	NA	NA		No		Patients who received prophylactic cranial irradiation were excluded.
Komaki 1983	6313558	LCLC	NA			120	90	30																		0	0	120					13	17	NA	NA	NA	NA	1970	1981	retrospective	Medical College of Wisconsin Affiliated Hospitals	USA	NA	NA	NA	NA	NA		No		Patients who received prophylactic cranial irradiation were excluded.
Tarver 1984	6093189	LC, neurological exam	NA	NA	NA	279	176	103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53	142	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1978	1983	retrospective	Indiana University Medical Center	USA	NA	NA	NA	NA	NA	NA	No	Yes	Patients must have had a neurological examination.
Tarver 1984	6093189	LUAD, neurological exam	NA	NA	NA	53	19	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53	142	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1978	1983	retrospective	Indiana University Medical Center	USA	NA	NA	NA	NA	NA	NA	No	Yes	Patients must have had a neurological examination.
Tarver 1984	6093189	SCLC, neurological exam	NA	NA	NA	142	102	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53	142	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1978	1983	retrospective	Indiana University Medical Center	USA	NA	NA	NA	NA	NA	NA	No	Yes	Patients must have had a neurological examination.
Tarver 1984	6093189	NSCLC, neurological exam	NA	NA	NA	137	74	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53	142	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1978	1983	retrospective	Indiana University Medical Center	USA	NA	NA	NA	NA	NA	NA	No	Yes	Patients must have had a neurological examination.
Quint 1996	8678651	NSCLC	NA			348	NA	NA	34	NA	221	127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	276	72	140	121	38	122	122	244	57	0	34	NA	NA	NA	NA	1991	1993	retrospective	University of Michigan Medical Center	USA	NA	NA	NA	NA	NA		No	Yes	Only metastasis at dx was recorded.
Rodrigus 2001	11325483	NSCLC, BM+	Caucasian			250	0	250	NA	NA	182	68	NA	NA	165	85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA		NA	NA	NA	132	118	NA	NA	NA	NA	1993	1998	retrospective	Dr. B. Verbeeten Institute	Netherlands	250	0	0	0	0		No	No	Age cutoff is actually 65.
Jacot 2001	11286469	NSCLC, BM+	Caucasian			231	0	231			194	37	NA	NA	127	104	62	135	34	107	122	64	165	0	231	86	0	145	0	0	0	231	0	231	NA	NA	NA	NA	1991	1998	prospective	Montpellier University Hospital, Institut Gustave Roussy, Strasbourg University Hospital, Besancon University Hospital	France	231	0	0	0	0		No	Yes	
Wu 2017	28551766	NSCLC, M+	East Asian			98	32	66			51	47	58	40	NA	NA	34	64	0	77	21	40	58	7	91	88	0	10	NA	NA	7	91	0	66	NA	NA	NA	NA	2000	2014	retrospective	Sun Yat-sen University	China	0	0	98	0	0	0.05	No		Assume very few patients > 50 y are also > 70 y.
Han 2016	27486770	LUAD	East Asian			234	158	76			125	109	131	103	143	91	NA	NA	NA	118	116	81	153	130	104		0		47	84	131	103	37	39	126	108	NA	NA	2007	2014	retrospective	Hubei Cancer Hospital	China	0	0	234	0	0		No		
Barnholtz-Sloan 2004	15254054	LC	Mixed	NA	NA	59038	47275	11763	NA	NA	37960	21078	NA	NA	18163	40875	5076	33765	20197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1973	2001	retrospective	Metropolitan Detroit Cancer Surveillance System	USA	45199	13486	0	0	353	NA	Yes	Yes	SEER stage and TNM stage are not compatible. Distant stage can correspond to stages II-IV.
Barnholtz-Sloan 2004	15254054	LC, 0-49 y	Mixed	NA	NA	5076	3528	1548	NA	NA	NA	NA	NA	NA	5076	0	5076	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1973	2001	retrospective	Metropolitan Detroit Cancer Surveillance System	USA	NA	NA	0	0	NA	NA			
Barnholtz-Sloan 2004	15254054	LC, 50-69 y	Mixed	NA	NA	33765	26146	7619	NA	NA	NA	NA	NA	NA	13087	20678	0	33765	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1973	2001	retrospective	Metropolitan Detroit Cancer Surveillance System	USA	NA	NA	0	0	NA	NA			
Barnholtz-Sloan 2004	15254054	LC, 70+ y	Mixed	NA	NA	20197	17601	2596	NA	NA	NA	NA	NA	NA	0	20197	0	0	20197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1973	2001	retrospective	Metropolitan Detroit Cancer Surveillance System	USA	NA	NA	0	0	NA	NA			
Barnholtz-Sloan 2004	15254054	LC, NFE or FIN	Mixed	NA	NA	45199	36442	8757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1973	2001	retrospective	Metropolitan Detroit Cancer Surveillance System	USA	45199	0	0	0	0	NA			
Barnholtz-Sloan 2004	15254054	LC, AFR	Mixed	NA	NA	13486	10552	2934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1973	2001	retrospective	Metropolitan Detroit Cancer Surveillance System	USA	NA	NA	0	0	0	NA			
Barnholtz-Sloan 2004	15254054	LC, male	Mixed	NA	NA	37960	30793	7167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1973	2001	retrospective	Metropolitan Detroit Cancer Surveillance System	USA	NA	NA	0	0	NA	NA			
Barnholtz-Sloan 2004	15254054	LC, female	Mixed	NA	NA	21078	16482	4596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1973	2001	retrospective	Metropolitan Detroit Cancer Surveillance System	USA	NA	NA	0	0	NA	NA			
Bhatt 2016	28717762	NSCLC	Caucasian	NA	NA	137	97	40	NA	NA	71	66	30	104	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	87	117	0	20	27	18	45	92	NA	NA	119	18	NA	NA	2007	2014	retrospective	University of Nebraska Medical Center	USA	128	0	3	0	6	NA	No	Yes	M status is not actually at presentation.
Bhatt 2016	28717762	NSCLC	South Asian	NA	NA	1385	1189	196	NA	NA	916	466	864	520	NA	NA	NA	NA	NA	NA	NA	NA	NA	115	1270	1201	0	184	3	106	109	1269	NA	NA	951	434	NA	NA	2007	2014	retrospective	Tata Memorial Hospital	India	0	0	0	1385	0	NA	No	Yes	M status is not actually at presentation.
Li Xie 2017	28932557	NSCLC																																							meta-analysis											
Hsiao 2017	28881820	NSCLC	East Asian			384	234	150	NA	NA	202	182	218	166	111	273	NA	NA	NA	NA	NA	NA	NA	NA	NA	320	0	64	NA	NA	61	323			198	186			2006	2012	retrospective	Taipei Medical University Hospital, Wan Fang Hospital	China	0	0	384	0	0	0.11	No		Stage IV is actually grouped together with IIIB.
Iwasaki 2004	15302040	NSCLC, BM+	East Asian			70	0	70			51	19														44	0	26											1994	2002	retrospective	Fukuoka University Hospital	Japan	0	0	70	0	0		No		
Barlesi 2011	21321089	NSCLC, BM+	Caucasian			43	0	43			29	14														36	0	7											2008	2009	prospective	Centre Hospitalier Regional Universitaire, and 16 other centres in France	France	43	0	0	0	0		No		
Ali 2013	23904768	NSCLC	NA			878	787	91																			0		NA	NA	NA	NA							2005	2007	retrospective	Juravinski Cancer Centre	Canada	NA	NA	NA	NA	NA		No		
Ali 2013	23904768	NSCLC, BM+	NA			91	0	91			43	48	7	83												47	0	44	13	23	36	55	46	45					2005	2007	retrospective	Juravinski Cancer Centre	Canada	NA	NA	NA	NA	NA		No		
Villano 2015	24891450	NSCLC, BM+ at dx	NA			757	0	757	757	0	NA	NA	NA	NA	NA	NA				NA	NA	NA	NA	0	757	358	0	399	0	0	0	757	0	757	NA	NA	NA	NA	2010	2011	population-based	Kentucky Cancer Registry	USA	NA	NA	NA	NA	NA		Yes		Number of patients with NSCLC is not provided (even in supplemental data).
Villano 2015	24891450	NSCLC, BM+ at dx	NA			347	0	347	347	0	NA	NA	NA	NA	NA	NA				NA	NA	NA	NA	0	347	151	0	196	0	0	0	347	0	347	NA	NA	NA	NA	2010	2011	population-based	Alberta Cancer Registry	Canada	NA	NA	NA	NA	NA		Yes		Number of patients with NSCLC is not provided (even in supplemental data).
Villano 2015	24891450	LC	NA	NA	NA	9525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA				NA	NA	NA	NA	NA	NA	NA	NA	NA	2512	1897	4409	4429	NA	965	NA	NA	NA	NA	2010	2011	population-based	Kentucky Cancer Registry	USA	NA	NA	NA	NA	NA	NA	Yes		Table 1 is mislabeled. Metastases after the initial diagnosis are not captured.
Villano 2015	24891450	LC	NA	NA	NA	3733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA				NA	NA	NA	NA	NA	NA	NA	NA	NA	888	664	1552	2116	NA	426	NA	NA	NA	NA	2010	2011	population-based	Alberta Cancer Registry	Canada	NA	NA	NA	NA	NA	NA	Yes		Table 1 is mislabeled. Metastases after the initial diagnosis are not captured.
Li Jing 2017	27888377	LUAD	East Asian			1063	938	125			580	483	578	485	732	331	NA	NA	NA	652	411	341	722				0								607	456			2010	2015	retrospective	Shanxi Cancer Hospital	China	0	0	1063	0	0		No		Age cutpoint is actually 65. M status at presentation is not shown; overlaps between different metastasis types are unknown.
Mujoomdar 2007	17229875	NSCLC	NA			264	169	95	NA	NA	158	106	NA	NA	NA	NA				206	58	159	105	134	130	136	0	128	83	51	134	130	NA	NA	NA	NA	NA	NA	1998	1999	retrospective	Columnbia University Medical Center	USA	NA	NA	NA	NA	NA		No	No	
Hubbs 2010	20629035	NSCLC, T1-T2, N0-N1, M0	Mixed	2.75		975	915	60			533	442								975	0	975	0	975	0		0		975	0	975	0			NA	NA	NA	NA	1995	2005	retrospective	Duke University Medical Center	USA	824	124	0	0	27		No		Table 3 contains meta-analysis.
Figlin 1988	2834646	NSCLC, I-III	NA	2.42		1532	NA	NA	104	NA	NA	NA	NA	NA	NA	NA				1480	52	1419	113	1532	0	804	0	728	1372	160	1532	0	NA	0	NA	NA	NA	NA	1977	1986	retrospective	Lung Cancer Study Group	USA	NA	NA	NA	NA	NA		No	No	Non-squamous is presumed to be mostly adenocarcinoma. T and N stage is based on older guidelines. Only initial site of metastasis was recorded.
Figlin 1988	2834646	NSCLC, I-II	NA	2.42		1372	NA	NA	88	NA	NA	NA	NA	NA	NA	NA				1372	0	1372	0	1372	0	728	0	644	1372	0	1372	0	NA	0	NA	NA	NA	NA	1977	1986	retrospective	Lung Cancer Study Group	USA	NA	NA	NA	NA	NA		No	No	Non-squamous is presumed to be mostly adenocarcinoma. T and N stage is based on older guidelines. Only initial site of metastasis was recorded. Only metastasis involoving only the brain recorded.
Figlin 1988	2834646	NSCLC, III	NA	2.42		160	NA	NA	10	NA	NA	NA	NA	NA	NA	NA				NA	NA	NA	NA	160	0	76	0	84	0	160	160	0	NA	0	NA	NA	NA	NA	1977	1986	retrospective	Lung Cancer Study Group	USA	NA	NA	NA	NA	NA		No	No	Non-squamous is presumed to be mostly adenocarcinoma. T and N stage is based on older guidelines. Only initial site of metastasis was recorded. Only metastasis involoving only the brain recorded.
Feld 1984	6512581	NSCLC, I-II	NA	3.40	NA	390	NA	NA	33	NA	NA	NA	NA	NA	NA	NA				390	0	390	0	390	0	191	0	199	390	0	390	0	NA	0	NA	NA	NA	NA	1977	1980	prospective	Lung Cancer Study Group	USA	NA	NA	NA	NA	NA		No	Yes	Only initial site of metastasis was recorded.
LLCS 1987	3026260	NSCLC, I-II	NA	5.50	510	1012	NA	NA	63	NA	870	142	NA	NA	597	415	162	850	0	1012	0	1012	0	1012	0	263	0	749	1012	0	1012	0	NA	0	NA	NA	NA	NA	1977	1983	prospective	Ludwig Lung Caner Study Group	International	NA	NA	NA	NA	NA		No	Yes	Only initial site of metastasis was recorded.
Martini 1995	7815787	NSCLC, I-II	NA	7.58	289	598	NA	NA	51	NA	392	206	NA	NA	NA	NA	NA	NA	NA	598	0	598	0	598	0	365	0	233	598	0	598	0	NA	0	NA	NA	NA	NA	1973	1985	retrospective	Memorial Sloan-Kettering	USA	NA	NA	NA	NA	NA	0.75	No	Yes	Non-squamous is presumed to be mostly adenocarcinoma. Only initial site of metastasis was recorded.
Gilbert 2000	10892909	NSCLC, I-II	NA	3.42		245	NA	NA	26	NA	144	101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	245	0	124	0	121	245	0	245	0	NA	0	NA	NA	NA	NA	1988	1995	retrospective	Kingston General Hospital	Canada	NA	NA	NA	NA	NA		No	Yes	History of previous malignancy excluded; thus, only initial site of metastasis was recorded.
Matsuoka 2007	18090581	NSCLC, II	East Asian	4.08		128	NA	NA	13	NA	109	19	NA	NA	NA	NA	7	59	62	128	0	128	0	128	0	45	0	83	128	0	128	0	NA	0	NA	NA	NA	NA	1991	2003	retrospective	Himeji Medical Center	Japan	0	0	128	0	0		No	Yes	Only initial site of metastasis was recorded. Assume 90% patients < 70 y are > 50 y based on Barnholtz 2004.
Lafitte 1996	8784014	NSCLC, IB	Caucasian	5.00	83	132	NA	NA	8	NA	126	6	NA	NA	NA	NA	NA	NA	NA	132	0	132	0	132	0	47	0	85	132	0	132	0	NA	0	NA	NA	NA	NA	1985	1991	prospective	Hospital Calmette	France	132	0	0	0	0	0.45	No	Yes	Only initial site of metastasis was recorded.
Bajard 2004	15301872	NSCLC, I-III	Caucasian			305	NA	NA	77	NA	279	26	NA	NA	148	157	NA	NA	NA	NA	NA	201	104	305	0	87	0	218	168	137	305	0	NA	0	NA	NA	NA	NA	1977	2001	retrospective	Besancon University Hospital	France	305	0	0	0	0		No	Yes	Only initial site of metastasis was recorded. Actual age cutpoint is 62. T1-T3 are grouped together: T1-T3, 258; T4, 47.
Niemiec 2011	24376956	LC, BM+	Caucasian			322	0	322			232	90			241	81	NA	NA	NA							76	132	114	NA	NA	NA	NA	175	147	NA	NA	NA	NA	1986	1997	retrospective	Maria Sklodowska-Curie Memorial Cancer Centre	Poland	322	0	0	0	0		No		Age cutpoint is actually 65.
Riihimaki 2014	25130083	LUAD, M+	Caucasian	6.00	NA	4316	2696	1620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4316	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	2010	population-based	Swedish Family-Cancer Database	Sweden	4316	0	0	0	0		No	Yes	Cohort is selected based on deceased patients. 21169 diagnosed, 17431 died (96% are due to lung cancer). Swedish Family-Cancer Database includes Swedish Cancer Registry and Cause of Death Registry.
Riihimaki 2014	25130083	SCLC, M+	Caucasian	6.00	NA	1818	970	848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1818	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	2010	population-based	Swedish Family-Cancer Database	Sweden	1818	0	0	0	0		No	Yes	
Riihimaki 2014	25130083	NSCLC, non-LUAD, M+	Caucasian	6.00	NA	3696	2346	1350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	3696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	2010	population-based	Swedish Family-Cancer Database	Sweden	3696	0	0	0	0		No	Yes	
Riihimaki 2014	25130083	LUAD	Caucasian	6.00	NA	6961	5341	1620	NA	NA	4212	4786	NA	NA	2039	6929	510	4788	3670	NA	NA	NA	NA	NA	NA	8998	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	2010	population-based	Swedish Family-Cancer Database (incl. Swedish Cancer Registry and Cause of Death Registry)	Sweden	8998	0	0	0	0		No	Yes	Data taken from Table 1 and 2. Patient sample size is inferred from the roportion of patients with metastasis: 62% in LUAD. 9830 (56%) of all deceased patients had metastases between diagnosis and death. Assume 75% of patients < 60 y are > 50 y (based on Barnholtz 2004).
Riihimaki 2014	25130083	SCLC	Caucasian	6.00	NA	2980	2132	848	NA	NA	1689	1603	NA	NA	647	2645	162	1665	1465	NA	NA	NA	NA	NA	NA	0	3292	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	2010	population-based	Swedish Family-Cancer Database	Sweden	3292	0	0	0	0		No	Yes	Data taken from Table 1 and 2. Patient sample size is inferred from the roportion of patients with metastasis: 61% in SCLC.
Riihimaki 2014	25130083	NSCLC, non-LUAD	Caucasian	6.00	NA	7524	6174	1350	NA	NA	5333	3546	NA	NA	1485	7394	371	4055	4453	NA	NA	NA	NA	NA	NA	0	0	8879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	2010	population-based	Swedish Family-Cancer Database	Sweden	8879	0	0	0	0		No	Yes	Data taken from Table 1 and 2. Patient sample size is inferred from the roportion of patients with metastasis: 41% in SCC, 56% in LCLC, and 59% in other histology.
Riihimaki 2014	25130083	LC, BM+	Caucasian	6.00	NA	3818	0	3818	NA	NA	1817	2001	NA	NA	1117	2701	279	2327	1212	NA	NA	NA	NA	1015	2401	1620	848	1350	NA	NA	1015	2401	1015	2401	NA	NA	NA	NA	2002	2010	population-based	Swedish Family-Cancer Database	Sweden	3818	0	0	0	0		No	Yes	Data taken from Table 2. Higher number of synchronous brain metastasis is likely due to inclusion of small cell lung cancer.
Nieder 2017	28357633	NSCLC, BM+	Caucasian			172	0	172			103	69														106	0	66													retrospective	Nordland Hospital, University Hospital Freiburg	Norway, Germany	172	0	0	0	0		No		
Guo 2012	22542706	NSCLC, BM+	NA			780	0	780			454	326	NA	NA	330	449	118	437	225							468	0	312											1982	2004	retrospective	Cleveland Clinic	United States	NA	NA	NA	NA	NA	0.05	No		Assume 50% of patients > 60 y are 70 y based on Barnholtz 2004.
Sorensen 1988	3047337	LUAD, inoperable	Caucasian			259	197	62																		259	NA	NA	NA	NA	NA	NA	37	25	NA	NA	NA	NA	1988	1988	prospective	Finsen Institute	Denmark	259	0	0	0	0		No		Only abstract available.
Fujimoto 2014	24682604	LUAD, IV	East Asian			246	NA	NA	91		142	104	113	133										0	246				0	0	0	246	NA	91	148	98			2007	2012	retrospective	Kobe City Medical Center General Hospital	Japan	246	0	0	0	0		No		
Shin 2014	24419416	LUAD	East Asian			314	263	51			151	163								244	70	209	105	161	153										61	63			2005	2011	retrospective	Korea Cancer Center Hospital	Korea	0	0	314	0	0		No		
Munfus-McCray 2011	21497370	LUAD, M+	Mixed			60	50	10			33	27	20	36															9	11	20	37			47	13			2007	2010	retrospective	Johns Hopkins Hospital	USA	33	NA	NA	NA	NA		No		Error in WT total in Table 3.
Stanic 2014	24991207	LUAD	Caucasian			629	461	168	NA	NA	326	303	147	453															NA	NA	245	379	78	90	492	137	NA	NA	2009	2012	retrospective	University Clinic Golnik, University Clinic Maribor	Slovenia	629	0	0	0	0		No	No	
Stanic 2014	24991207	LUAD, IV, BM+	Caucasian			379	257	122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	379	379	0	0	0	0	0	379	32	90	286	93	NA	NA	2009	2012	retrospective	University Clinic Golnik, University Clinic Maribor	Slovenia	379	0	0	0	0		No	No	
Stanic 2014	24991207	LUAD, I-III, BM+	Caucasian			245	200	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	245	0	245	0	0	NA	NA	245	0	45	0	203	42	NA	NA	2009	2012	retrospective	University Clinic Golnik, University Clinic Maribor	Slovenia	245	0	0	0	0		No	No	
Zhao Du 2016	28054523	LUAD, IIIB-IV, BM- at dx	East Asian			396	297	99	NA	NA	218	178	289	107	288	108	NA	NA	NA	NA	NA	NA	NA	56	340	396	0	0	0	56	56	340	99	0	NA	NA	NA	NA	2009	2012	retrospective	Chinese Army Lung Cancer Group	China	0	0	396	0	0		No		Patients were excluded if they showed brain metastasis at diagnosis. Actual age cutpoint is 65.
Zhao Hayes 2014	25224251	NSCLC, BM- at dx	Mixed			174	157	17	NA	NA	88	86	12	161	NA	NA	NA	NA	NA	153	19	115	52	NA	NA	87	0	87	NA	NA	NA	NA	17	0	NA	NA	NA	NA	1990	2009	retrospective	University of North Carolina Hospital	USA	141	30	0	0	3		No		Data taken from Table 2.
Jain 2015	25955322	LUAD, IV, EGFR+	Mixed			211	NA	NA	55	NA	83	128	166	45	128	83	NA	NA	NA										0	0	0	211	NA	55	0	461	NA	NA	2009	2013	retrospective	Lung Cancer Consortium Singapore	Singapore	0	0	198	4	9		No		Only patients are treated with EGFR TKI and palliative intent is included. Age cutpoint is actually 65. Only BM at dx is assessed.
Heon 2012	22733536	NSCLC, IV or relapsed, EGFR+	Mixed	2.08		155	76	79			44	111	78	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	139	0	16	NA	NA	25	130	43	36	0	155	NA	NA	2000	2010	retrospective	Dana-Farber Cancer Institute	USA	136	5	12	0	2		No		EGFR TKI treatment may have reduced CNS progression. Synchronous vs. metchronous brain metastasis cannot be inferred due to inclusion of relapsed patients. 43 patients had CNS progression after therapy and no previous history of brain metastasis.
